PROVINCIA,CODIGO_PROVINCIA,CONCELLO,CODIGO_CONCELLO,PRAIA,LUGAR_E_PARROQUIA,LONXITUDE,TIPO,TIPO_DE_AREA,COORDENADAS,Coordenada_X,Coordenada_Y,MAIS_INFORMACION_EN_TURGALICIA
Pontevedra Province,36,Sanxenxo,36051,Lapa,A Lanzada - Noalla (Santo Estevo),250,Praia aberta,Fina,42.434313/-8.8722694,42.434313,-8.8722694,http://www.turismo.gal/ficha-recurso?cod_rec=9743
Pontevedra Province,36,Sanxenxo,36051,Areas Beach,Areas - Bordóns (San Pedro),350,Praia aberta,Fina,42.39463800/-8.77880500,42.39463800,-8.77880500,http://www.turismo.gal/recurso?cod_rec=9767
Pontevedra Province,36,Sanxenxo,36051,Areas Gordas, ,250,Praia aberta,Fina,42.430972/-8.87261,42.430972,-8.87261,http://www.turismo.gal/ficha-recurso?cod_rec=9746  
Pontevedra Province,36,Sanxenxo,36051,Portonovo,Baltar - Adina (Santa María),600,Praia resgardada,Fina,42.398722/-8.822555,42.398722,-8.822555,http://www.turismo.gal/ficha-recurso?cod_rec=9778  
Pontevedra Province,36,Sanxenxo,36051,Bascuas,Aios - Noalla (Santo Estevo),210,Praia aberta,Fina,42.404139/-8.858139,42.404139,-8.858139,http://www.turismo.gal/ficha-recurso?cod_rec=9750  
Pontevedra Province,36,Sanxenxo,36051,Canelas,Canelas - Adina (Santa María),400,Praia aberta,Fina,42.389972/-8.831833,42.389972,-8.831833,http://www.turismo.gal/ficha-recurso?cod_rec=9754  
Pontevedra Province,36,Sanxenxo,36051,Caneliñas,Portonovo - Adina (Santa María),100,Praia resgardada,Fina,42.39186000/-8.82586000,42.39186000,-8.82586000,http://www.turismo.gal/recurso?cod_rec=9755
Pontevedra Province,36,Sanxenxo,36051,Agra,Areas - Dorrón (San Xoán),260,Praia resgardada,Fina,42.394619/-8.7702212,42.394619,-8.7702212,http://www.turismo.gal/ficha-recurso?cod_rec=9771 
Pontevedra Province,36,Sanxenxo,36051,A Lanzada,A Lanzada - Noalla (Santo Estevo),150,Praia aberta,Fina,42.43871/-8.87178,42.43871,-8.87178,http://www.turismo.gal/ficha-recurso?cod_rec=11362 
Pontevedra Province,36,Sanxenxo,36051,Foxos,A Lanzada - Noalla (Santo Estevo),350,Praia aberta,Fina,42.427138/-8.873694,42.427138,-8.873694,http://www.turismo.gal/ficha-recurso?cod_rec=9748  
Pontevedra Province,36,Sanxenxo,36051,Major,,600,Praia aberta,Fina,42.413694/-8.866583,42.413694,-8.866583,http://www.turismo.gal/ficha-recurso?cod_rec=9749  
Pontevedra Province,36,Sanxenxo,36051,Montalvo Beach,,900,Praia aberta,Fina,42.398944/-8.848194,42.398944,-8.848194,http://www.turismo.gal/ficha-recurso?cod_rec=9751  
