nombre,concello,provincia,lat,lon,wikidata,qid,label_wd,label_gl,imagen_url,longitud_wd,lat_wd,lon_wd,municipio_wd,delta_lat,delta_lon
Aguete Beach,Marín,Pontevedra,42.37386,-8.731472,http://www.wikidata.org/entity/Q28119934,Q28119934,Playa de Aguete,praia de Aguete,http://commons.wikimedia.org/wiki/Special:FilePath/Marin%20Praia%20Aguete.JPG,920,42.374499999,-8.731199999,Seijo (Marín),0.00064,0.00027
Mogor,Marín,Pontevedra,42.385972,-8.719416,http://www.wikidata.org/entity/Q28119933,Q28119933,Mogor,Praia de Mogor,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20de%20Mogor%2C%20Mar%C3%ADn.jpg,250,42.3849,-8.7207,Mogor,0.00107,0.00128
Portocelo Beach,Marín,Pontevedra,42.390027,-8.71425,http://www.wikidata.org/entity/Q28119932,Q28119932,Playa de Portocelo,praia de Portocelo,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20de%20Portocelo.jpg,350,42.3898,-8.715,Mogor,0.00023,0.00075
O Con,Moaña,Pontevedra,42.271083,-8.740527,http://www.wikidata.org/entity/Q28122317,Q28122317,O Con,O Con,,350,42.270999999,-8.740599999,,8e-05,7e-05
Cabeceira Beach,Poio,Pontevedra,42.422453,-8.6823,http://www.wikidata.org/entity/Q28119930,Q28119930,Playa de Cabeceira,Cabeceira,http://commons.wikimedia.org/wiki/Special:FilePath/Illa%20De%20Tambo%20%283947037%29.jpeg,200,42.4221,-8.682099999,Poyo,0.00035,0.0002
Xiorto,Poio,Pontevedra,42.422453,-8.6823,http://www.wikidata.org/entity/Q28119914,Q28119914,Xiorto,Xiorto,,180,42.4028,-8.7548,,0.01965,0.0725
Ponte Caldelas,Ponte Caldelas,Pontevedra,42.39131,-8.491745,http://www.wikidata.org/entity/Q12397853,Q12397853,Ponte Caldelas,Ponte Caldelas,http://commons.wikimedia.org/wiki/Special:FilePath/R%C3%ADo%20Verdugo%20ao%20seu%20paso%20por%20Pontecaldelas.jpg,,42.39070726,-8.503214544,Puente-Caldelas,0.0006,0.01147
A Lanzada,Sanxenxo,Pontevedra,42.43871,-8.87178,http://www.wikidata.org/entity/Q20548158,Q20548158,A Lanzada,A Lanzada,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20A%20Lanzada%2001-06.jpg,,42.45527778,-8.88166667,San Vicente de El Grove,0.01657,0.00989
Agra,Sanxenxo,Pontevedra,42.394619,-8.7702212,http://www.wikidata.org/entity/Q28119911,Q28119911,Agra,Agra,http://commons.wikimedia.org/wiki/Special:FilePath/Agra%20%281%29.jpg,200,42.3945,-8.769,,0.00012,0.00122
Areas Beach,Sanxenxo,Pontevedra,42.394638,-8.778805,http://www.wikidata.org/entity/Q6078573,Q6078573,playa de Areas,praia de Areas,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20de%20Areas%20-%20Sanxenxo%20-%20Galiza%20%28Spain%29-4.jpg,600,42.39171,-8.77696,Sangenjo,0.00293,0.00184
